//idk exactly what created this, i think ExcelToCsv
12S,16S,18S,28S,H3,NaK,Pepck
X(new data),EU868705.1,EU868800.1,"X(new data, short)",X(new data),,
X(new data),EU868706.1,EU868801.1,X(new data),X(new data),,
EU920890.1,EU920920.1,EU920937.1,EU920975.1,EU921053.1,,
,"X(new data, short)",DQ079746.1,DQ079784.1,X(new data),,
,DQ079711.1,DQ079747.1,DQ079785.1,DQ079672.1,,
,GQ487497.1,GQ487505.1,GQ487513.1,GQ487524.1,,
,"X(new data, short)",DQ079764.1,DQ079807.1,X(new data),,
,EU868702.1,EU868797.1,X(new data),X(new data),,
,,,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868689.1,EU868782.1,X(new data),X(new data),,
KP076013.1,KP075931.1,KP075777.1,KP075762.1,KP076140.1,KP076047.1,
X(new data),EU868698.1,EU868792.1,X(new data),X(new data),,
,GQ487498.1,GQ487506.1,GQ487514.1,GQ487525.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868703.1,EU868798.1,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868704.1,EU868799.1,X(new data),X(new data),,
X(new data),,EU868793.1,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868712.1,EU868810.1,X(new data; short),X(new data),,
X(new data),EU868691.1,EU868785.1,X(new data; short),X(new data),,
X(new data),EU868692.1,EU868786.1,X(new data; short),X(new data),,
X(new data),,EU868784.1,X(new data),X(new data),,
,,X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
"X(new data, lil short)",EU868700.1,EU868796.1,X(new data; short),X(new data),,
X(new data),,X(new data; short),X(new data),X(new data),,
JX403864.1,JX403846.1,JX403828.1,JX403807.1,JX403888.1,,
X(new data),X(new data),X(new data),X(new data; short),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
JX403870.1,JX403852.1,JX403834.1,JX403813.1,JX403893.1,,
X(new data),,,,,,
JX403886.1,JX403862.1,JX403844.1,JX403826.1,JX403906.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),"X(new data, short)",,,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),"X(new data, short)","X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",,,
,DQ079731.1,DQ079766.1,DQ079809.1,DQ079698.1,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),,,X(new data),,
X(new data),X(new data),"X(new data, short)","X(new data, short)",,,
X(new data),EU868683.1,EU868776.1,X(new data),X(new data),,
,X(new data),FJ943442.1,FJ943449.1,X(new data),,
,GQ487499.1,GQ487507.1,GQ487515.1,GQ487526.1,,
X(new data),EU868707.1,EU868802.1,"X(new data, short)",X(new data),,
X(new data),EU868708.1,EU868803.1,X(new data),X(new data),,
X(new data),EU868709.1,EU868804.1,X(new data,X(new data),,
X(new data),X(new data),X(new data; short),X(new data; short),X(new data),,
,,X(new data),,X(new data),,
,,JF346251.1,,X(new data),,
X(new data),,EU868805.1,X(new data),,,
X(new data),X(new data),X(new data),"X(new data, short",X(new data),,
JX403885.1,JX403861.1,JX403843.1,JX403825.1,JX403905.1,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),,X(new data),,
X(new data),X(new data),X(new data),,X(new data),,
JX403883.1,JX403859.1,JX403841.1,JX403823.1,JX403903.1,,
JX403878.1,EU868710.1,EU868807.1,GQ487509.1,GQ487519.1,,
X(new data),,X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data; short),X(new data),,
,X(new data),X(new data),X(new data; short),X(new data),,
JX403880.1,X(new data),x,X(new data; short),GQ487518.1,,
JX403868.1,JX403850.1,JX403832.1,JX403811.1,JX403907.1,,
X(new data),,X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),,X(new data),"X(new data, lil short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, lil short)",X(new data),,
JX403866.1,JX403848.1,JX403830.1,JX403809.1,JX403890.1,,
X(new data),X(new data),X(new data),X(new data),,,
X(new data),X(new data),"X(new data, lil short)","X(new data, short)",X(new data),,
JX403867.1,JX403849.1,JX403831.1,JX403810.1,JX403891.1,,
JX403881.1,JX403857.1,JX403839.1,JX403821.1,JX403901.1,,
X(new data),X(new data),"X(new data, short)",X(new data),,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
JX403871.1,JX403853.1,JX403835.1,JX403814.1,JX403894.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
,,X(new data),,X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868711.1,EU868806.1,,,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
not in txt file,,,,,,
,EU868667.1,EU868758.1,X(new data),X(new data),,
EU920893.1,X(new data;short),EU920940.1,EU920973.1,EU921057.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data; lil short),X(new data),X(new data),,X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
,,,,X(new data),,
X(new data),EU868713.1,EU868808.1,,,,
,EU868714.1,EU868809.1,X(new data),X(new data),,
,EU868714.1,x,x,X,,
JX403876.1,JX403855.1,JX403837.1,JX403820.1,JX403900.1,,
DQ642861.1,EU868660.1,EU868751.1,EF540838.1,,,
JX403877.1,GQ487495.1,GQ487503.1,GQ487511.1,GQ487521.1,,
JX403875.1,EU868679.1,EU868772.1,JX403818.1,KF828029.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),"X(new data, lil short)","X(new data, short)",,,
X(new data),X(new data),X(new data),"X(new data, short)",,,
,EU868638.1,EU868729.1,,,,
,EU868671.1,EU868764.1,,,,
,EU868670.1,EU868763.1,,,,
